web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1568968087-352","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","William B.","I like all of the new customization options","September 18, 2017","Community has changed since back when the original came out, but it's still CoD4 at heart. I like all of the new customization options, too.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1568968085-346","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Beth H.","good","August 20, 2018","great game","4.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews"
"1568968083-340","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Crystal H","Arrived in perfect condition","December 31, 2018","Brand new perfect condition","5.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1568968102-412","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","OG2TONE","Four Stars","October 26, 2017","Dope game but, nothing is comparable to the originals","4.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews"
"1568968095-384","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","LA Underground Inc.","Great Game!!! How bout a Black Ops 2 Remastered for the PS4?","October 13, 2017","This game is dope! I personally didn't play this cod game till now even tho I bought the PS3 version 1 or 2 years ago..weird huh? Anyway this game is plain and simple one of the best COD games ever...Since I've gotten it, I've been playing it everyday...I skipped Infinite Warfare and took a long time to warm up to BOPS3...even tho I love that one too...This game brought back the good ol feelings of Black Ops 1...Graphics and sound are on point...I highly recommend this game..ppl are rating this game super low...don't understand the hate...when has a COD game ever included a dlc? Never! Anyway clean game, highly enjoyable maps...I would state this is a must have for the PS4 alongside Advanced and BOPS3...WW2 looks to be the return of full fledged COD glory...until then enjoy MW Remastered u won't be disappointed! Love this game...","4.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_9?ie=UTF8&pageNumber=9&reviewerType=all_reviews"
"1568968078-315","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","the dude","Only good for that memorable campaign.","April 29, 2018","The multiplayer is a little different.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_2?ie=UTF8&pageNumber=2&reviewerType=all_reviews"
"1568968097-393","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","J","Need a king of FPS developers","October 15, 2017","Too bad you can’t give a lower rating.

This game was once the best game ever made. It’s what got me playing Online, my dad and I used to play. Now it’s not even worth buying a second time except the only benefit Is there are no Modders in this one, or atleast not as many. Game is still good and true to the original except for the fact of the Supply Drop, and the $40 price tag, and the lack of DLC to be added in with the price.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
"1568968087-354","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","MN Smokey Bear","Activision has outdone itself again!","February 25, 2018","Activision has outdone itself again!  If you enjoyed this game on PS3/XBOX 360 you will not be disappointed.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews"
"1568968090-363","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Dawrench","Great","January 10, 2018","Great","5.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews"
"1568968083-334","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Ma'at","Great product","September 27, 2018","Luv this game","5.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews"
"1568968097-391","https://www.amazon.com/product-reviews/B072FP29S9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews","Amazon Customer","One Star","July 2, 2017","Overpriced and doesn't include 10 year old DLC. This is an embarrassment to Activision.","1.0 out of 5 stars","Next page→","https://www.amazon.com/Call-Duty-Modern-Warfare-Remastered-PlayStation/product-reviews/B072FP29S9/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews"
